"key", "en", "br", "de"

"tut_wasd", "Use WASD to move", "Use WASD para se mover", "Verwende WASD, um sich zu bewegen"

"tut_mouse", "Move the mouse\nMove the camera", "Mova o mouse\nMova a camera", "Bewege die Maus\nBewege die Kamera"

"tut_space", "Press Space to jump", "Aperte Espaco para\npular", "Drucke die Leertaste, um\nzu springen"

"tut_shoot_open", "Shoot to\nopen", "Atire para\nabrir", "Schiessen zu\noeffnen"

"pause", "Pause.", "Pause", "Pause"

"focus", "Focus.", "Foque.", "Fokussiere."

"that thing", "...THAT THING.", "...AQUELA COISA.", "DIESES DING."

"tut_slowdown", "Press E to toggle\nSlowdown", "Aperte E para alternar\nSlowdown", "Drucke E, um Slowdown\numzuschalten"

"tut_jump", "Jump..?", "Pule..?", "Spring..?"

"tut_loadouts", "Swap loadouts with\n1, 2 and 3", "Troque loadouts com\n1, 2 e 3", "Tausche Loadouts mit\n1, 2 und 3"

"tut_require", "Slowdown requires Style", "Slowdown requer Estilo", "Slowdown verlangt Stil"

"tut_gain", "Gain Style by being cool", "Ganhe Estilo sendo maneiro", "Gewinne Stil mit coolen Tricks"

"tut_lose", "Style is lost passively", "Estilo desce com o tempo", "Stil verringert mit der Zeit"

"tut_luck", "Good\nluck", "Boa\nsorte", "Viel\nGlueck"

"tut_configure", "Press TAB to configure\nyour loadouts", "Aperte TAB para configurar\nseus loadouts", "Drueck TAB, um deine Loadouts\nzu konfigurieren"

"tut_last", "Press Q to swap to\nyour last loadout", "Aperte Q para trocar para\nseu ultimo loadout", "Drueck Q, um zu deinem letzten\nLoadout zu wechseln"

"tut_health", "Touch a Healing Token\nto FULLY HEAL", "Toque em um Token de Cura\npara CURAR TUDO", "Beruehre ein Heil-Token, um\nsich VÖLLIG ZU HEILEN"

"area_storage", "The Storage", "O Deposito", "Die Lagerhalle"

"storage_kill", "GET A KILL."

